## Lcom/tencent/weibo/sdk/android/component/PublishActivity; onClick
Landroid/location/Location;->getLatitude 1
Ljava/io/ByteArrayOutputStream;->toByteArray 2
Landroid/location/Location;->getLongitude 1
Ljava/io/ByteArrayOutputStream;-><init> 2
Landroid/net/wifi/WifiManager;->getConnectionInfo 1
Ljava/io/File;-><init> 1
Ljava/io/IOException;->printStackTrace 1
Landroid/net/wifi/WifiInfo;->getIpAddress 1
Ljava/io/File;->isFile 1

## Lcom/tencent/weibo/sdk/android/component/ConversationActivity; onCreate
Landroid/net/wifi/WifiInfo;->getIpAddress 1
Ljava/io/File;->isFile 1
Ljava/io/File;-><init> 1
Landroid/net/wifi/WifiManager;->getConnectionInfo 1
Ljava/io/IOException;->printStackTrace 1

## Lcom/tencent/weibo/sdk/android/component/MainPage_Activity; onCreate

## Lcom/metek/zqWeather/a/b; onClick
Ljava/io/FileOutputStream;->write 1
Ljava/io/InputStreamReader;-><init> 1
Ljava/io/File;->delete 1
Landroid/net/NetworkInfo;->getSubtypeName 1
Ljava/io/File;->mkdirs 1
Ljava/io/FileInputStream;->close 3
Ljava/io/File;->length 1
Landroid/net/NetworkInfo;->isConnectedOrConnecting 1
Ljava/io/StringWriter;-><init> 1
Landroid/net/NetworkInfo;->getState 2
Ljava/io/InputStreamReader;->read 1
Ljava/io/StringWriter;->toString 1
Ljava/io/File;->exists 2
Ljava/io/FileOutputStream;-><init> 1
Ljava/io/StringWriter;->write 1
Landroid/net/ConnectivityManager;->getNetworkInfo 2
Ljava/io/File;-><init> 2
Ljava/io/FileOutputStream;->close 4
Ljava/io/FileOutputStream;->flush 1
Landroid/net/ConnectivityManager;->getActiveNetworkInfo 1

## Lcom/tencent/weibo/sdk/android/component/PublishActivity; onCreate
Ljava/io/File;->isFile 1
Ljava/io/File;-><init> 1
Ljava/io/IOException;->printStackTrace 1

## Lcom/metek/zqWeather/activity/AppPushWebActivity; onCreate
Ljava/io/PrintWriter;->print 238
Ljava/io/Writer;-><init> 1
Ljava/io/PrintWriter;-><init> 2
Ljava/io/PrintWriter;->println 76

## Lcom/tencent/weibo/sdk/android/component/GeneralInterfaceActivity; onClick
Landroid/net/wifi/WifiInfo;->getIpAddress 1
Ljava/io/ByteArrayOutputStream;->toByteArray 2
Ljava/io/ByteArrayOutputStream;-><init> 2
Landroid/net/wifi/WifiManager;->getConnectionInfo 1

## Lcom/tencent/weibo/sdk/android/component/GeneralInterfaceActivity; onCreate
Landroid/location/Criteria;->setAltitudeRequired 1
Landroid/location/Criteria;->setSpeedRequired 1
Landroid/location/Location;->getLatitude 1
Landroid/location/Criteria;-><init> 1
Landroid/location/LocationManager;->getBestProvider 1
Landroid/location/Location;->getLongitude 1
Landroid/location/Criteria;->setBearingRequired 1
Landroid/location/Criteria;->setPowerRequirement 1
Landroid/location/Criteria;->setCostAllowed 1
Landroid/location/Criteria;->setAccuracy 1
Landroid/location/LocationManager;->getLastKnownLocation 1

## Lcom/metek/zqWeather/activity/SettingsUpdateActivity; onClick

## Lcom/sina/weibo/sdk/register/mobile/MobileRegisterActivity; onCreate
Ljava/io/InputStream;->close 6
Ljava/io/IOException;->printStackTrace 7

## Lcom/metek/zqWeather/service/UpdateService; onStart
Ljava/net/URL;-><init> 1
Ljava/io/File;-><init> 2
Landroid/net/Uri;->fromFile 1
Ljava/io/File;->exists 1
Ljava/io/PrintStream;->println 1
Ljava/io/File;->mkdir 1
Ljava/io/PrintStream;->flush 1

## Lcom/metek/zqWeather/activity/fv; onItemClick

## Lcom/sina/weibo/sdk/register/mobile/MobileRegisterActivity; onClick
Landroid/net/NetworkInfo;->isConnected 1
Landroid/net/ConnectivityManager;->getActiveNetworkInfo 1

## Lcom/metek/zqUtil/view/map/e; onClick

## Lcom/metek/zqWeather/App; onCreate
Ljava/io/Closeable;->close 1
Ljava/io/File;->mkdirs 2
Ljava/io/File;->createNewFile 1
Ljava/io/PrintStream;-><init> 1
Ljava/io/PrintStream;->println 2
Ljava/io/OutputStreamWriter;-><init> 3
Ljava/io/IOException;->getMessage 1
Ljava/io/File;->mkdir 3
Ljava/io/Writer;->write 13
Ljava/io/ByteArrayOutputStream;-><init> 1
Ljava/io/InputStream;->read 1
Ljava/io/File;->listFiles 1
Ljava/io/ByteArrayOutputStream;->write 2
Ljava/io/File;->isDirectory 1
Ljava/io/File;-><init> 17
Ljava/io/FileOutputStream;-><init> 4
Ljava/io/PrintStream;->flush 1
Ljava/io/IOException;-><init> 10
Ljava/io/FileInputStream;-><init> 1
Ljava/io/BufferedWriter;-><init> 3
Ljava/io/File;->renameTo 2
Ljava/io/File;->delete 5
Ljava/io/File;->length 1
Ljava/io/Writer;->flush 1
Ljava/io/ByteArrayOutputStream;->toString 1
Ljava/io/File;->exists 12
Ljava/io/EOFException;-><init> 1
Ljava/io/Writer;->append 1
Ljava/io/Writer;->close 4

## Lcom/metek/zqWeather/a/v; onClick
Ljava/io/FileOutputStream;->write 1
Ljava/io/InputStreamReader;-><init> 1
Landroid/net/NetworkInfo;->getSubtypeName 1
Ljava/io/FileOutputStream;->flush 1
Ljava/io/ObjectInputStream;->readObject 1
Ljava/io/PrintStream;->println 1
Landroid/net/ConnectivityManager;->getNetworkInfo 2
Ljava/io/StringWriter;-><init> 1
Landroid/net/NetworkInfo;->getState 2
Ljava/io/ObjectOutputStream;-><init> 1
Landroid/net/NetworkInfo;->isConnectedOrConnecting 1
Ljava/io/StringWriter;->write 1
Ljava/io/ObjectOutputStream;->close 4
Ljava/io/FileInputStream;->close 8
Landroid/net/ConnectivityManager;->getActiveNetworkInfo 1
Ljava/io/StringWriter;->toString 1
Ljava/io/File;-><init> 1
Ljava/io/IOException;->printStackTrace 9
Ljava/io/PrintStream;->flush 1
Ljava/io/ObjectInputStream;->close 5
Ljava/io/File;->delete 1
Ljava/io/File;->length 1
Ljava/io/InputStreamReader;->read 1
Ljava/io/File;->exists 1
Ljava/io/ObjectInputStream;-><init> 1
Ljava/io/FileOutputStream;->close 5
Ljava/io/ObjectOutputStream;->writeObject 1

## Lcom/metek/zqWeather/activity/StorageActivity; onResume
Landroid/hardware/Sensor;->getType 1
Lorg/apache/http/params/HttpConnectionParams;->setSoTimeout 1
Landroid/database/sqlite/SQLiteDatabase;->query 2
Lorg/apache/http/params/BasicHttpParams;-><init> 1
Lorg/apache/http/impl/client/DefaultHttpClient;-><init> 1
Ljava/io/InputStream;->close 2
Ljava/io/StringWriter;->toString 1
Ljava/io/ObjectInputStream;->readObject 1
Landroid/net/wifi/WifiManager;->getConnectionInfo 1
Landroid/database/sqlite/SQLiteOpenHelper;-><init> 1
Landroid/net/NetworkInfo;->getExtraInfo 1
Ljava/io/PrintStream;->println 1
Landroid/net/NetworkInfo;->isAvailable 1
Ljava/io/PrintWriter;->close 1
Ljava/io/FileReader;-><init> 3
Ljava/io/StringWriter;-><init> 1
Landroid/hardware/SensorManager;->getSensorList 1
Ljava/io/Writer;-><init> 1
Ljava/io/PrintWriter;-><init> 3
Ljava/io/InputStream;->read 2
Ljava/io/File;->listFiles 1
Ljava/io/PrintWriter;->println 76
Ljava/io/FileInputStream;->close 8
Landroid/net/ConnectivityManager;->getActiveNetworkInfo 2
Lorg/apache/http/HttpHost;-><init> 1
Landroid/database/sqlite/SQLiteDatabase;->insert 1
Ljava/io/BufferedReader;-><init> 3
Lorg/apache/http/impl/client/DefaultHttpClient;->setKeepAliveStrategy 1
Landroid/net/NetworkInfo;->getTypeName 1
Ljava/io/File;-><init> 3
Ljava/io/IOException;->printStackTrace 5
Ljava/io/File;->getPath 3
Ljava/io/PrintStream;->flush 1
Lorg/apache/http/params/HttpConnectionParams;->setConnectionTimeout 1
Landroid/net/wifi/WifiInfo;->getMacAddress 1
Ljava/io/ObjectInputStream;->close 5
Lorg/apache/http/impl/client/DefaultHttpClient;->getParams 1
Landroid/net/NetworkInfo;->isConnected 1
Landroid/database/sqlite/SQLiteDatabase;->replace 1
Landroid/database/sqlite/SQLiteDatabase;->update 1
Ljava/io/BufferedReader;->readLine 3
Lorg/apache/http/params/HttpParams;->setParameter 1
Ljava/io/File;->exists 1
Ljava/io/ObjectInputStream;-><init> 1
Ljava/io/PrintWriter;->print 238
Ljava/io/BufferedReader;->close 2
Lorg/apache/http/impl/client/DefaultConnectionKeepAliveStrategy;-><init> 1

## Lcom/metek/zqWeather/activity/aa; onClick
Ljava/io/File;->mkdirs 1
Ljava/io/File;-><init> 2
Ljava/io/InputStream;->close 3
Ljava/io/File;->exists 2
Ljava/io/FileInputStream;-><init> 1

## Lcom/metek/zqWeather/activity/bo; onClick
Ljava/io/FileOutputStream;->write 1
Ljava/io/InputStreamReader;-><init> 1
Landroid/net/NetworkInfo;->getSubtypeName 1
Ljava/io/FileOutputStream;->flush 1
Ljava/io/ObjectInputStream;->readObject 1
Ljava/io/PrintStream;->println 1
Landroid/net/ConnectivityManager;->getNetworkInfo 2
Ljava/io/StringWriter;-><init> 1
Landroid/net/NetworkInfo;->getState 2
Ljava/io/ObjectOutputStream;-><init> 1
Landroid/net/NetworkInfo;->isConnectedOrConnecting 1
Ljava/io/StringWriter;->write 1
Ljava/io/ObjectOutputStream;->close 4
Ljava/io/FileInputStream;->close 11
Landroid/net/ConnectivityManager;->getActiveNetworkInfo 1
Ljava/io/StringWriter;->toString 1
Ljava/io/File;-><init> 1
Ljava/io/IOException;->printStackTrace 9
Ljava/io/PrintStream;->flush 1
Ljava/io/ObjectInputStream;->close 5
Ljava/io/File;->delete 1
Ljava/io/File;->length 1
Ljava/io/InputStreamReader;->read 1
Ljava/io/File;->exists 1
Ljava/io/ObjectInputStream;-><init> 1
Ljava/io/FileOutputStream;->close 5
Ljava/io/ObjectOutputStream;->writeObject 1

## Lcom/metek/zqWeather/activity/da; onClick

## Lcom/metek/zqWeather/activity/fw; onClick
Ljava/io/FileOutputStream;->write 1
Ljava/io/InputStreamReader;-><init> 1
Landroid/net/NetworkInfo;->getSubtypeName 1
Ljava/io/FileOutputStream;->flush 1
Ljava/io/ObjectInputStream;->readObject 1
Ljava/io/PrintStream;->println 1
Landroid/net/ConnectivityManager;->getNetworkInfo 2
Ljava/io/StringWriter;-><init> 1
Landroid/net/NetworkInfo;->getState 2
Ljava/io/ObjectOutputStream;-><init> 1
Landroid/net/NetworkInfo;->isConnectedOrConnecting 1
Ljava/io/StringWriter;->write 1
Ljava/io/ObjectOutputStream;->close 4
Ljava/io/FileInputStream;->close 8
Landroid/net/ConnectivityManager;->getActiveNetworkInfo 1
Ljava/io/StringWriter;->toString 1
Ljava/io/File;-><init> 1
Ljava/io/IOException;->printStackTrace 9
Ljava/io/PrintStream;->flush 1
Ljava/io/ObjectInputStream;->close 5
Ljava/io/File;->delete 1
Ljava/io/File;->length 1
Ljava/io/InputStreamReader;->read 1
Ljava/io/File;->exists 1
Ljava/io/ObjectInputStream;-><init> 1
Ljava/io/FileOutputStream;->close 5
Ljava/io/ObjectOutputStream;->writeObject 1

## Lcom/metek/zqWeather/activity/ShareEditActivity; onClick
Ljava/io/FileOutputStream;->write 1
Landroid/database/sqlite/SQLiteDatabase;->query 1
Ljava/io/InputStreamReader;-><init> 1
Landroid/net/NetworkInfo;->getSubtypeName 1
Ljava/io/FileInputStream;->close 3
Landroid/database/sqlite/SQLiteOpenHelper;-><init> 1
Ljava/io/PrintStream;->println 2
Landroid/net/ConnectivityManager;->getNetworkInfo 2
Landroid/database/sqlite/SQLiteDatabase;->close 2
Ljava/io/StringWriter;-><init> 1
